Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Class,"DeprecatedAttribute",0,4,0,2,23,3,1,1,1,1,4,0,4,0,1,2,,0,,0,0,,,,,,5,0,0,0,0,5,17,1,,0,0,0,5,,27,2,21,5,6,3,0,2,,,,,10,7,0,3,,,,,,2,2,2,1,,1,1,,0,,0.14,5,5,5,4
Public Function,"DeprecatedAttribute::DeprecatedAttribute",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Function,"DeprecatedAttribute::DeprecatedAttribute",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,3,0,0,0,2,2,0,1,2,0,0,2,2,2,2,1,0,,,,,0,,1,0,,,0.00,,,,
Public Virtual Const Function,"DeprecatedAttribute::Print",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,2,0,0,0,1,1,0,3,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Virtual Function,"DeprecatedAttribute::~DeprecatedAttribute",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Class,"DiagnoseParser",9,63,18,197,1255,344,10,9,12,2,90,9,62,18,1,9,,0,,0,0,,,,,,21,9,9,0,0,21,191,0,,0,18,0,3,,1776,197,1243,134,764,344,0,12,,,,,853,146,5,702,,,,,,27,27,41,10,,2,6,,83,,0.28,198,186,242,55
Private Function,"DiagnoseParser::CheckPrimaryDistance",,,,15,181,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,226,15,179,11,113,31,0,2,25,235200,5,90,116,10,0,106,27,27,41,1,7,,,,,0,,4,0,,,0.17,,,,
Private Function,"DiagnoseParser::DiagnoseParse",,,,24,125,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,223,24,125,10,93,76,0,0,20,7230,4,79,101,9,0,92,23,23,24,4,4,,,,,3,,4,3,,,0.61,,,,
Public Function,"DiagnoseParser::DiagnoseParser",,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,12,1,2,0,0,0,2,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Private Function,"DiagnoseParser::ErrorRecovery",,,,9,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,58,9,32,4,20,16,0,0,12,8,1,20,24,3,1,20,7,7,7,6,6,,,,,6,,2,6,,,0.50,,,,
